timestamp,session_elapsed_sec,attention_score,raw_score,attention_category,gaze_h_direction,gaze_v_direction,gaze_h_ratio,gaze_v_ratio,gaze_penalty,eye_state,blink_count_cumulative,closure_duration_s,last_closure_type,long_closure_events_cumulative,blink_penalty,head_yaw,head_pitch,head_roll,head_forward,head_penalty,face_present,face_penalty,avg_attention_so_far,time_attentive_s,time_distracted_s,face_loss_s
2026-07-07T22:37:15,3.8,100.0,100.0,HIGHLY_ATTENTIVE,CENTER,CENTER,0.49,0.452,0,OPEN,0,0.0,NONE,0,0,-6.7,-9.6,-2.3,True,0,True,0,100.0,2.7,0.4,0.4
2026-07-07T22:37:16,4.9,100.0,100.0,HIGHLY_ATTENTIVE,CENTER,CENTER,0.489,0.506,0,OPEN,0,0.0,NONE,0,0,8.1,-5.6,-1.1,True,0,True,0,100.0,3.7,0.4,0.4
2026-07-07T22:37:17,5.9,100.0,100.0,HIGHLY_ATTENTIVE,CENTER,CENTER,0.517,0.485,0,OPEN,0,0.0,NONE,0,0,7.1,-1.5,-1.1,True,0,True,0,100.0,4.8,0.4,0.4
2026-07-07T22:37:18,6.9,100.0,100.0,HIGHLY_ATTENTIVE,CENTER,CENTER,0.526,0.432,0,OPEN,0,0.0,NONE,0,0,-2.8,-0.1,10.8,True,0,True,0,100.0,5.8,0.4,0.4
2026-07-07T22:37:19,8.0,100.0,100.0,HIGHLY_ATTENTIVE,CENTER,CENTER,0.498,0.445,0,OPEN,0,0.0,NONE,0,0,4.7,-10.8,8.7,True,0,True,0,100.0,6.8,0.4,0.4
2026-07-07T22:37:20,9.0,100.0,100.0,HIGHLY_ATTENTIVE,CENTER,UP,0.513,0.379,0,OPEN,0,0.0,NONE,0,0,4.6,-10.8,-0.3,True,0,True,0,100.0,7.8,0.5,0.5
2026-07-07T22:37:21,10.0,100.0,100.0,HIGHLY_ATTENTIVE,CENTER,CENTER,0.474,0.425,0,OPEN,0,0.0,NONE,0,0,0.3,-9.0,0.0,True,0,True,0,100.0,8.8,0.5,0.5
2026-07-07T22:37:22,11.0,100.0,100.0,HIGHLY_ATTENTIVE,CENTER,CENTER,0.481,0.446,0,OPEN,1,0.165,BLINK,0,0,3.5,-13.8,-2.1,True,0,True,0,100.0,9.9,0.5,0.5
2026-07-07T22:37:23,12.0,100.0,100.0,HIGHLY_ATTENTIVE,CENTER,UP,0.498,0.379,0,OPEN,1,0.165,BLINK,0,0,8.3,-12.8,-1.7,True,0,True,0,100.0,10.9,0.5,0.5
2026-07-07T22:37:24,13.1,99.3,100.0,HIGHLY_ATTENTIVE,CENTER,UP,0.501,0.397,0,CLOSED,1,0.126,BLINK,0,0,6.5,-14.2,-1.0,True,0,True,0,99.9,11.9,0.5,0.5
